rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Commonplace Coffee","Squirrel Hill (flagship; 7 locations across western PA)",info@commonplacecoffee.com,"~400 (Squirrel Hill flagship, est.; Yelp 245)","TJ",drafted,,"No branded app. Ordering via joe.coffee third-party marketplace listings. The 'CommonPlace Coffee + Community' app in the app stores belongs to an unrelated Knoxville, TN shop (PoppinPay), not this company."
2,"De Fer Coffee & Tea","Strip District (flagship; 6 Pittsburgh locations)",orders@defer.coffee,"~600 (Strip District flagship, est.; Yelp 290)","Matt",drafted,,"No branded app found in app stores. Order-ahead runs through their website and a Square Online site (de-fer-coffee-tea.square.site)."
3,"La Prima Espresso Company","Strip District (original; 5 cafes plus roastery)",orders@laprima.com,"~600 (Strip District, est.; Yelp 197)","Sam",drafted,,"No branded app. Locations are listed on the joe.coffee third-party marketplace, and several show mobile ordering not even enabled there."
4,"Constellation Coffee","Lawrenceville",constellationpgh@gmail.com,"~350 (est.; Yelp 141)","",drafted,,"No branded app found; no online ordering on their simple website. Walk-in espresso bar."
5,"Tazza D'Oro","Highland Park (plus Oakland location behind the Oaklander Hotel)",tazzadoro@earthlink.net,"~500 (Highland Park, est.; Yelp 200)","Amy",drafted,,"No branded app found; basic informational website with no online ordering."
6,"Redhawk Coffee Roasters","Oakland (plus Sharpsburg cafe)",redhawkcoffee@gmail.com,"~350 (Oakland, est.; Yelp 228)","Mary",drafted,,"No branded app. Shopify site for beans; cafe listed on joe.coffee third-party marketplace."
7,"Ka-Fair Coffee and Cakery","Morningside",kafair.cakery@gmail.com,"~180 (est.; Restaurantji 145, Yelp 54) - below 250 but a clear neighborhood anchor","",drafted,,"No branded app. Wix website; listed on joe.coffee third-party marketplace."
8,"KLVN Coffee Lab","Larimer / East End",inna@klvncoffee.com,"~300 (est.; Yelp 100)","Inna",drafted,,"No branded app. Shopify site for beans; cafe listed on joe.coffee third-party marketplace."
9,"Gasoline Street Coffee Company","Downtown (First Avenue)",GasolineStreetCoffee@gmail.com,"~250 (est.; Yelp 93)","",drafted,,"No branded app. Squarespace website; listed on joe.coffee third-party marketplace."
10,"Kaibur Coffee & Cafe","Polish Hill",kaiburcoffee@gmail.com,"~300 (est.; Restaurantji 261, Yelp 80)","Sarah",drafted,,"No branded app. Online ordering runs through a generic Square site (kaibur-coffee.square.site)."
11,"Convive Coffee Roastery","Lawrenceville and North Shore (4 cafes plus coffee truck)",convivecoffeeroastery@gmail.com,"~250 (combined, est.; Yelp 110 McCandless + 12 North Shore)","Ryland",drafted,,"No branded app. Online ordering via their Squarespace site; listed on joe.coffee third-party marketplace."
12,"Nicholas Coffee & Tea Co.","Downtown (Market Square)",info@NicholasCoffee.net,"~400 (4.4 stars, per public listings)","",drafted,,"No branded app. Bean ecommerce on their own site; coffee bar listed on joe.coffee third-party marketplace."
13,"Ineffable Ca Phe","Bloomfield / Garfield (Penn Avenue)",ineffablecaphe@yahoo.com,"~450 (est.; Yelp 215, Restaurantji 169)","",drafted,,"No branded app. Reservations/ordering via a generic Toast page (book.toasttab.com/r/ineffable-ca-phe)."
14,"Everyday Cafe","Homewood",info@everydaycafepgh.com,"~300 (est.; Restaurantji 189)","",drafted,,"No branded app. Online ordering via a generic NetWaiter page (everydaycafe2.netwaiter.com)."
15,"Biddle's Escape","Regent Square",info@biddlesescape.com,"~500 (est.; Yelp 220, Restaurantji 224)","",drafted,,"No branded app. Listed on joe.coffee third-party marketplace; no own ordering platform."
16,"Cafe Moulin","Shadyside",cafemoulinpgh@gmail.com,"~700 (est.; Yelp 529, Restaurantji 369)","",drafted,,"No branded app. Delivery via Grubhub; listed on joe.coffee third-party marketplace."
