rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Songbird Coffee & Tea House","Downtown Phoenix (Roosevelt Row area, 812 N 3rd St)",info@songbirdcoffeehouse.com,"505 Yelp reviews (yelp.com listing, Jul 2026); Google count not directly verified but typically runs higher for this shop","",drafted,,"Apple App Store search for 'Songbird Coffee' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace (joe.coffee/locations/az/phoenix/songbird-coffee-and-tea-house...), which qualifies."
2,"Fillmore Coffee Co.","Downtown Phoenix (Skyline Lofts, 600 N 4th St)",info@fillmorecoffeeco.com,"324 Yelp reviews (yelp.com listing, Jun 2026); Google count not directly verified","Tristan",drafted,,"Apple App Store search for 'Fillmore Coffee' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace, which qualifies."
3,"Giant Coffee","Downtown Phoenix arts district (1437 N 1st St)",hello@giantcoffeeaz.com,"453 Yelp reviews at the 1st St flagship (yelp.com, Jul 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Giant Coffee' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace, which qualifies."
4,"JOBOT Coffee Bar","Roosevelt Row (333 E Roosevelt St)",theboss@jobotcoffeebar.com,"268 Yelp reviews (yelp.com, Jun 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Jobot' (Jul 2026) returns only job-search apps, no branded cafe app; shop is listed on the joe.coffee marketplace, which qualifies."
5,"Copper Star Coffee","Melrose District (4220 N 7th Ave)",bill@copperstarcoffee.com,"982 Yelp reviews (yelp.com, Jul 2026); Google count not directly verified but this is one of the highest-reviewed indie shops in central Phoenix","Bill",drafted,,"Apple App Store search for 'Copper Star Coffee' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace, which qualifies."
6,"Provision Coffee","Uptown Phoenix (711 E Missouri Ave) plus 7th Street location",info@provisioncoffee.com,"278 Yelp reviews at Missouri Ave location (yelp.com, Jul 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Provision Coffee' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace and uses a Shopify site, which qualifies."
7,"Futuro (Palabra Collective)","Downtown Phoenix / Roosevelt Row area (909 N 1st St)",info@palabraphx.com,"186 Yelp reviews (yelp.com, Jun 2026); below the 250 preference but a distinctive, established downtown concept","",drafted,,"Apple App Store search for 'Futuro Palabra' (Jul 2026) returns no branded cafe app (only unrelated same-name apps by other developers)."
8,"Tres Leches Cafe","Downtown Phoenix (Grand Avenue area)",contact@treslechescafe.com,"Count not directly verified this pass (Yelp/Google blocked to fetcher); long-established Mexican cafe with a large downtown following, widely covered locally","",drafted,,"Apple App Store search for 'Tres Leches Cafe' (Jul 2026) returns only unrelated games and chains, no branded app."
9,"Dark Hall Coffee","Central Phoenix (2243 N 12th St)",darkhallcoffee@gmail.com,"Count not directly verified this pass (Yelp/Google blocked to fetcher); niche shop with a devoted following, likely under 500","",drafted,,"Apple App Store search for 'Dark Hall Coffee' (Jul 2026) returns no branded app."
10,"Fourtillfour","Old Town Scottsdale (7105 E 1st Ave)",hello@fourtillfour.com,"405 Yelp reviews (yelp.com, Jul 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Fourtillfour' (Jul 2026) returns no branded app; ordering runs through a Square site (fourtillfour-cafe-scottsdale.square.site), which qualifies."
11,"Berdena's","Old Town Scottsdale (7051 E 5th Ave)",contact@berdenas.com,"505 Yelp reviews (yelp.com, Jul 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Berdena' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace, which qualifies."
12,"Sip Coffee & Beer","Old Town Scottsdale (3617 N Goldwater Blvd), plus Arcadia-area Phoenix garage location",info@sipcoffeeandbeer.com,"553 Yelp reviews at Scottsdale house (yelp.com, Jun 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Sip Coffee Beer' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace, which qualifies."
13,"Village Coffee Roastery","Scottsdale (8120 N Hayden Rd)",lisa@villagecoffee.com,"Count not directly verified this pass (Yelp/Google blocked to fetcher); long-running Scottsdale roastery cafe with a strong local base","Lisa",drafted,,"Apple App Store search for 'Village Coffee Roastery' (Jul 2026) returns no branded app."
14,"King Coffee","Tempe, Mill Avenue near ASU (1020 S Mill Ave)",Kingcoffeeaz@gmail.com,"125 Yelp reviews (yelp.com, Jun 2026); below the 250 preference, Google count not directly verified","",drafted,,"Apple App Store search for 'King Coffee Tempe' (Jul 2026) returns no branded app."
15,"Infusion Coffee & Tea Crafters","Tempe (1300 E 8th St)",info@infusioncoffeetea.com,"419 Yelp reviews (yelp.com, Jun 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Infusion Coffee' (Jul 2026) returns no branded app; online ordering runs through a Square site (infusioncoffeetea.square.site), which qualifies."
16,"Jarrod's Coffee, Tea, & Gallery","Downtown Mesa (109 W University Dr)",jarrodmartinez@icloud.com,"208 Yelp reviews (yelp.com, May 2026); slightly below the 250 preference, Google count not directly verified","Jarrod",drafted,,"Apple App Store search for 'Jarrod's Coffee' (Jul 2026) returns no branded app; shop is listed on the joe.coffee marketplace, which qualifies."
17,"Mythical Coffee","Gilbert (1090 S Gilbert Rd)",hello@mythical.coffee,"347 Yelp reviews (yelp.com, Apr 2026); Google count not directly verified","",drafted,,"Apple App Store search for 'Mythical Coffee' (Jul 2026) returns no branded app; ordering runs through their Square site and joe.coffee listing, which qualifies."
