rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Dogwood Coffee Co.","Northeast (Tyler St NE) + East Lake",cafes@dogwoodcoffee.com,"~400 per cafe (est.); Yelp 115 NE / 90 East Lake","",drafted,,"Online ordering runs through the third-party joe.coffee marketplace app; no Dogwood-branded app found in the App Store or Google Play."
2,"Backstory Coffee Roasters","North Loop + St. Paul West Side (near downtown/Lowertown)",hello@backstory.coffee,"~350 (est.) for Minneapolis cafe; Yelp 159 Mpls / 84 St. Paul","",drafted,,"Ordering via third-party joe.coffee platform; no Backstory-branded app found in app stores."
3,"FRGMNT Coffee","North Loop (also Mill District, St. Anthony Main, Eden Prairie)",info@frgmntcoffee.com,"~500 (est.) North Loop flagship; Yelp 116","",drafted,,"Each location listed on the third-party joe.coffee ordering platform; no FRGMNT-branded app found in app stores."
4,"Wildflyer Coffee","Longfellow (Minnehaha Ave) + St. Paul",contact@wildflyercoffee.com,"~250 (est.); Yelp 52, heavy local press coverage","Carley",drafted,,"Pickup ordering via third-party joe.coffee and the shop's own generic web ordering page; no branded app found in app stores."
5,"Northern Coffeeworks","Longfellow (4208 28th Ave S)",hello@northerncoffeeworks.com,"~500 (est.); Yelp 153","",drafted,,"No branded mobile app found in app stores; website is a standard Shopify-style site with no order-ahead app."
6,"Claddagh Coffee Cafe","St. Paul - West 7th (+ Wee Claddagh, Selby-Dale)",claddaghmanagement@gmail.com,"~600 (est.); Yelp 219","Mary",drafted,,"Ordering via third-party joe.coffee and a generic web ordering page; no Claddagh-branded app found in app stores."
7,"Golden Thyme Cafe","St. Paul - Rondo / Selby Avenue",cafe@goldenthymeco.com,"~400 (est.) on the long-running Selby Ave listing; Yelp 99","Randy",drafted,,"Listed on third-party joe.coffee; no branded app found in app stores."
8,"Cafe Latte","St. Paul - Grand Avenue",latte@cafelatte.com,"~3000 (est.); Yelp 849","",drafted,,"Listed on third-party joe.coffee; no Cafe Latte-branded app found in app stores."
9,"The Coffee Shop Northeast","Northeast (Johnson St NE)",info@thecoffeeshopne.com,"~600 (est.); Yelp 159, Restaurantji 236","",drafted,,"Ordering via third-party joe.coffee; official site is a simple WordPress site; no branded app found in app stores."
10,"Cafe Astoria","St. Paul - Grand Ave at Leech (near West 7th / Cathedral Hill)",leah@cafeastoria-stp.com,"~1500 (est.); Yelp 614 with 1231 photos","Leah",drafted,,"Ordering via third-party joe.coffee and a white-label web ordering page (order.cafeastoria-stpaul.com); no branded app found in app stores."
11,"Workhorse Coffee Bar","St. Paul - St. Anthony Park (University Ave / Raymond Station)",info@workhorsecoffee.com,"~450 (est.); Yelp 127","Ty",drafted,,"Listed on third-party joe.coffee; no branded app found in app stores."
12,"The Get Down Coffee Co.","Camden / North Minneapolis (44th Ave N)",getdown@getdowncoffee.com,"~300 (est.); Yelp 65 with 140 photos","Houston",drafted,,"Online ordering via a generic Square site (getdowncoffee.square.site) and third-party joe.coffee; no branded app found in app stores."
13,"Caydence Records & Coffee","St. Paul - East Side (Payne Ave)",contact@caydencemn.com,"~300 (est.); Yelp 84","",drafted,,"Listed on third-party joe.coffee; no branded app found in app stores."
14,"Sisters' Sludge Coffee Cafe and Wine Bar","Seward (23rd Ave S)",sisterssludge3@gmail.com,"~250 (est.); Restaurantji 228, Yelp 48","",drafted,,"Listed on third-party joe.coffee; no branded app found in app stores."
15,"Sencha Tea Bar","Uptown (Hennepin Ave) + St. Paul Grand Ave",customerservice@senchateabar.com,"~400 (est.) Uptown; Yelp 246 Uptown / 95 Grand Ave","",drafted,,"Uptown location listed on third-party joe.coffee; website is a Shopify tea store with no order-ahead app; no branded app found in app stores."
