rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"ReAnimator Coffee","Fishtown / Kensington (multiple cafes)",info@reanimatorcoffee.com,"500+ Google reviews across cafes (est.; 480+ aggregated across its 4 location pages on directories)","",drafted,,"No branded ReAnimator app in the Apple App Store; the website is a standard Shopify bean store and the cafes have no order-ahead app of their own."
2,"Ultimo Coffee","Newbold / Graduate Hospital / Rittenhouse / Germantown",info@ultimocoffee.com,"700+ Google reviews combined across 4 cafes (est.; ~700 aggregated on directory location pages)","Aaron",drafted,,"No branded Ultimo app in the Apple App Store; website is a standard Squarespace site with no order-ahead of its own."
3,"Rival Bros Coffee","Fitler Square / Center City",onlinesupport@rivalbros.com,"400+ Google reviews across locations (est.; 182+148+96 on directory location pages)","",drafted,,"No branded Rival Bros app in the Apple App Store; the site is a Shopify bean store with a wholesale portal, no consumer order-ahead app."
4,"Menagerie Coffee","Old City (plus Northern Liberties)",menageriecoffee@gmail.com,"600+ Google reviews est. (305 on directories, 2,283 Foursquare check-ins for the Old City shop alone)","",drafted,,"Online ordering is a generic Square site (menagerie-coffee.square.site); no branded app in the Apple App Store."
5,"Vibrant Coffee Roasters","Rittenhouse Square",coffeeisafruit@vibrantcoffeeroasters.com,"300-500 Google reviews est. (140 on directories; small high-traffic grab-and-go shop)","",drafted,,"No branded app in the Apple App Store; website is a Squarespace bean shop with no order-ahead of its own."
6,"Herman's Coffee","Pennsport (South Philly)",contact@hermanscoffee.com,"400+ Google reviews est. (196 on directories, 127 Yelp)","",drafted,,"No branded app in the Apple App Store; Squarespace website with no order-ahead app, evening reservations run through OpenTable."
7,"Front Street Cafe","Fishtown",contact@frontstreetcafe.net,"2,000+ Google reviews est. (916 reviews and 1,350 photos on Yelp alone)","",drafted,,"No branded app in the Apple App Store; ordering and reservations run through their website and OpenTable."
8,"Old City Coffee","Old City + Reading Terminal Market",information@oldcitycoffee.com,"1,000+ Google reviews est. across both locations (323 + 282 on Yelp)","",drafted,,"No branded app in the Apple App Store; online presence is a website with wholesale ordering, no consumer order-ahead app."
9,"Cafe y Chocolate","South Philly (Snyder Ave)",cafeconchocolate2012@gmail.com,"900+ Google reviews est. (449 reviews and 1,253 photos on Yelp)","",drafted,,"Ordering runs through their website and the third-party Joe marketplace; no branded app of their own in the Apple App Store."
10,"Gran Caffe L'Aquila","Center City (Chestnut St, Rittenhouse)",riccardomlongo@gmail.com,"3,000+ Google reviews est. (1,662 reviews and 3,047 photos on Yelp)","Riccardo",drafted,,"Ordering runs through third parties (Joe marketplace, Grubhub) and their own Shopify site; no branded app in the Apple App Store."
11,"Uncle Bobbie's Coffee & Books","Germantown",info@unclebobbies.com,"1,000+ Google reviews est. (245 on directories, 212 on Yelp; nationally covered shop)","Marc",drafted,,"No branded app in the Apple App Store; books sell through bookshop.org and the cafe has no order-ahead app."
12,"One Shot Coffee & Cafe","Northern Liberties",oneshotcoffee@gmail.com,"900+ Google reviews est. (607 reviews and 654 photos on Yelp)","",drafted,,"Ordering runs through the third-party Joe marketplace and Grubhub; no branded app of their own in the Apple App Store."
13,"OX Coffee","Queen Village",sales@oxcoffee.com,"300-400 Google reviews est. (146 on directories; small beloved shop)","",drafted,,"No branded app in the Apple App Store; retail beans sell through a Shopify site (shop.oxcoffee.com) and the cafe has no order-ahead app."
14,"Chapterhouse Cafe & Gallery","Bella Vista / Queen Village (9th St)",shannonbanon@hotmail.com,"700+ Google reviews est. (554 on Yelp)","",drafted,,"Ordering runs through the third-party Joe marketplace; no branded app in the Apple App Store."
15,"Shot Tower Coffee","Queen Village (Christian St)",info@shottowercoffee.com,"350-450 Google reviews est. (152 on Yelp; open since 2010)","",drafted,,"No branded app in the Apple App Store; no order-ahead beyond the counter and their website."
