rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"James Coffee Co","Little Italy (flagship; also Bankers Hill, North Park, Carmel Mountain Ranch)",customerservice@jamescoffeeco.com,"~945 Yelp reviews at the Little Italy flagship; 4.7 stars / 46 reviews Tripadvisor (Google count not surfaced)","David",drafted,,"No branded app on App Store or Google Play; ordering runs on their Square-style web store (instore.jamescoffeeco.com), DoorDash, and a joe.coffee listing; no app links on jamescoffeeco.com (verified by curl)."
2,"Dark Horse Coffee Roasters","Normal Heights (roastery; also North Park, South Park, Golden Hill, Hillcrest)",bryan@darkhorsecoffeeroasters.com,"~711 Yelp reviews at the Normal Heights / Adams Ave roastery (Google count not surfaced)","Bryan",drafted,,"No branded app on App Store or Google Play; order-ahead runs on a generic Square site (darkhorsecoffee.square.site) plus Uber Eats and a joe.coffee listing; no app links on darkhorsecoffeeroasters.com (verified by curl)."
3,"Communal Coffee","North Park (flagship; also South Park, Bankers Hill, Oceanside)",hello@communalcoffee.com,"~943 Google reviews, 4.6 stars at North Park (Google via search snippet); ~1,484 Yelp reviews same location","Jen",drafted,,"No branded app found on App Store or Google Play; ordering via generic Toast pages (order.toasttab.com/online/communalcoffee), a Square site, DoorDash/Uber Eats, and a joe.coffee listing; no app links on communalcoffee.com (verified by curl)."
4,"Achilles Coffee Roasters","Downtown: Gaslamp Quarter, East Village (Park 12), Core-Columbia; plus Carmel Valley",achillescoffee@gmail.com,"Yelp: ~177 (Park 12, 4.7), ~168 (Gaslamp, 4.4), ~167 (The Rey, 4.5), ~105 (Carmel Country Rd); ~600+ combined (Google counts not surfaced)","Chad",drafted,,"No branded app found in App Store or Google Play searches; ordering via generic Square site (achillescoffeeroasters.square.site), Uber Eats/DoorDash, and joe.coffee listings; no app links on either official site (verified by curl)."
5,"Holsem Coffee","North Park (plus a second cafe in La Jolla)",help@holsemcoffee.com,"~827 Google reviews, ~4.5 stars (Google data via Wanderlog); 1,330 Yelp reviews","Muna",drafted,,"App Store search for 'holsem' returns only unrelated apps; holsemcoffee.com (Shopify) has no App Store, Google Play, or 'download our app' links; web ordering only."
6,"Moniker Coffee Co","Liberty Station / Point Loma (also North Park via Moniker General)",info@monikergroup.com,"~748 Google reviews, ~4.4-4.6 stars (Google data via Wanderlog); 818 Yelp reviews","Ryan",drafted,,"No App Store results for Moniker; ordering runs on a generic Square Online site (monikercoffeeco.square.site)."
7,"Camp Coffee Company","Downtown Oceanside (North San Diego County)",hello@campcoffeecompany.com,"~538 Google reviews, 4.7 stars (Google data via Wanderlog, cross-checked with a search snippet showing 4.7 / 530); 596 Yelp reviews; 5.0 Tripadvisor","Jason",drafted,,"Website is a generic Square Online store; listed on the joe marketplace; App Store search for 'camp coffee company' returns no branded app."
8,"Lestat's Coffee House","Normal Heights (original; also University Heights and Hillcrest)",admin@lestats.com,"~529 Google reviews, 4.4 stars (Google via search snippet); 1,283 Yelp reviews at the Adams Ave location alone","John",drafted,,"No App Store or Google Play results for Lestat's; their joe.coffee listing says mobile ordering isn't available yet; lestats.com links only to Square online ordering."
9,"Caffe Calabria","North Park",info@caffecalabria.com,"~1,381 Google reviews, 4.6 stars (Google via search snippet); 1,823 Yelp reviews, 4.3 stars","",drafted,,"Searches for a Caffe Calabria app return only unrelated apps (Caffe Nero etc.); their WordPress site offers contact forms and bean ordering only, wholesale by phone."
10,"Zumbar Coffee & Tea","Sorrento Valley (plus Cardiff-by-the-Sea)",info@zumbarcoffee.com,"~723 Yelp reviews at Sorrento Valley; 4.6/5 from 181 aggregated local reviews on localcoffeeshops.org (Google count not captured)","Steve",drafted,,"App Store and Google Play searches return only unrelated apps (Zuma Coffee, ZBar, ZUS); their Squarespace site has no app links."
11,"Steady State Roasting","Carlsbad Village (plus San Marcos), North San Diego County",hello@steadystateroasting.com,"~872 reviews, 4.8 stars (Google data via directory snippet); 338 Yelp reviews at Carlsbad","Elliot",drafted,,"joe.coffee listing says mobile ordering isn't enabled; online ordering runs through a generic Square site (steady-state.square.site); no branded app found."
12,"Coffee & Tea Collective","North Park (East Village location closed)",info@coffeeandteacollective.com,"~254 Google reviews, 4.6 stars (Google via search snippet); 523 Yelp reviews at North Park","Daniel",drafted,,"No App Store result for the shop; joe.coffee listing says mobile ordering isn't available; retail runs on Shopify and delivery via DoorDash."
13,"Ryan Bros Coffee","Barrio Logan (HQ; also City Heights, Downtown, San Marcos)",tom@ryanbroscoffee.com,"~788 Google reviews, 4.6 stars (Google via search snippet); 589 Yelp reviews","Tom",drafted,,"App Store and Google Play searches return only unrelated same-name apps from other cities; online ordering is generic Clover and Square; no app links on ryanbroscoffee.com."
14,"S3 Coffee Bar","Grantville / Mission Gorge (plus Escondido)",claudia@s3coffeebar.com,"~2,124 reviews, 4.5 stars (aggregate, likely Google); 1,434 Yelp reviews at Mission Gorge; 820 Facebook reviews at 100% recommend","",drafted,,"No App Store or Google Play results; joe.coffee listing explicitly says mobile ordering is not available; official site and Square ordering site have no app links (both fetched)."
