rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Valentine Coffee Roasters","Vliet St (near Wauwatosa border); also Third Ward and Downer Ave",info@valentinecoffeeco.com,"4.8 stars, ~770 Google reviews at Vliet St flagship (joe.coffee listing JSON-LD reviewCount:770)","Robb",drafted,,"No app-store results for a Valentine app; ordering is a generic Square site (valentine-coffee-roasters.square.site) and joe.coffee listings state mobile ordering is not available yet."
2,"Rochambo Coffee & Tea House","Brady St, East Side",jeno@jccapitalcorp.com,"~835-1,000 Google reviews at 4.6-4.7 (joe.coffee shows 1000; restaurantguru Mar 2026 shows 835)","Jeno",drafted,,"App-store searches for 'Rochambo' return only unrelated rock-paper-scissors games and recipe apps; shop is on the generic joe.coffee marketplace and its own SpotHopper site has no app."
3,"Pilcrow Coffee","Bronzeville (416 W Walnut St)",amanda@pilcrowcoffee.com,"~501 Google reviews at 4.7 (joe.coffee listing mirroring Google)","Ryan",drafted,,"App-store searches return only unrelated apps (Philz, Pilot Coffee Roasters); joe.coffee listing states mobile ordering is not available; own site is a plain Shopify storefront."
4,"Vennture Brew Co.","Washington Heights (5519 W North Ave); second location in Brookfield",info@vennturebrewco.com,"~536 Google reviews at 4.8 (joe.coffee listing mirroring Google)","",drafted,,"App-store searches return only unrelated homebrewing apps; online ordering is a generic Square site (vennturebrewco.square.site) and joe.coffee says mobile ordering is not available."
5,"Sherman Perk Coffee Shop","Sherman Park (4924 W Roosevelt Dr)",Bob@ShermanPerkCoffeeShop.com,"~309 Google reviews at 4.6 (mindtrip.ai Google-derived snippet); clears the 150+ anchor bar","Bob",drafted,,"App-store searches for 'Sherman Perk' return only unrelated apps (Sherman Wealth, Sherman Theater PA, Sherman ISD TX); shop takes phone orders and sits on the generic joe.coffee platform."
6,"Canary Coffee Bar","Westown / downtown (720 N Old World 3rd St)",info@canarycoffeebar.com,"~742 Google reviews at 4.5 (restaurantguru and wanderlog Google-derived counts)","",drafted,,"App-store searches for 'Canary Coffee' return only unrelated apps (Canary smart-home security, Canary Wharf London); shop runs a Squarespace site and sits on the generic joe.coffee platform."
7,"Hawthorne Coffee Roasters","Bay View / airport corridor (4177 S Howell Ave)",info@hawthornecoffeeroasters.com,"~570 Google reviews at 4.8 (chamberofcommerce.com Google-derived; joe.coffee shows 736)","",drafted,,"App-store searches return only unrelated apps ('Hawthorn Tree Coffee', a different business; Hawthorne CA city apps); shop has its own site with no app and sits on the generic joe.coffee platform."
8,"Cranky Al's","East Tosa / Wauwatosa (6901 W North Ave)",crankyals@gmail.com,"410 Yelp reviews at 4.7 (Yelp, July 2026); Google count not directly verified but well above anchor threshold","Al",drafted,,"iTunes Search API for 'cranky als' returns only ALS-medical apps and an unrelated 'Cranky's' delivery app; shop uses generic joe.coffee web ordering."
9,"Sip & Purr Cat Cafe","East Side / Brady St (833 E Brady St)",info@sipandpurr.com,"~775 Google reviews at ~4.3 (wanderlog Google Maps histogram, fetched directly)","Katy",drafted,,"joe.coffee listing states mobile ordering is not available; iTunes/Play searches for 'sip and purr' return only cat-purr sound generators and games."
10,"Alderaan Coffee","Lower East Side / Water St (1560 N Water St)",info@alderaancoffee.com,"125 Yelp reviews at ~4.5 (Yelp, July 2026); Google count not directly verified, operating since 2016","David",drafted,,"iTunes Search API for 'alderaan coffee' returns only Blue Bottle, Blank Street, Philz; online ordering is a generic Square site (alderaan-coffee.square.site); also on joe.coffee."
11,"Vendetta Coffee Bar","Wauwatosa Village, Walker's Point, and Bay View (3 locations)",info@vendettacoffeebar.com,"Yelp: 100 (Walker's Point) + 15 (Bay View), July 2026; Google counts not directly verified, likely 250+ combined across 3 locations","",drafted,,"Their own 'Mobile Orders' page is a generic Square web store (vendettacoffeebar.square.site); iTunes/Play searches for 'vendetta coffee' return only unrelated national apps."
12,"Aroma Cafe","West Allis (metro Milwaukee)",osjcoffeeshop@gmail.com,"Google count not verifiable from research environment; newer small shop, likely under 250 (below review preference)","Lucy",drafted,,"Official Wix site offers only a web 'ORDER ONLINE' page with no app links; same-name apps (Aroma Joe's Maine, ca.craver.aromacafebar) belong to unrelated businesses."
13,"Dryhootch Coffeehouse","East Side / Brady St (1030 E Brady St)",veterans@dryhootch.org,"Google count not verifiable from research environment; likely under 250 (below review preference)","",drafted,,"iTunes Search API for 'dryhootch' returns only unrelated apps (DryLINK, dry cleaners); no online ordering platform of any kind."
