rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"The Red Hook","West Village (plus Ferndale, East Jefferson Greenway, Midtown)",sandi@theredhookcoffee.com,"472 Google reviews (4.6) West Village + 441 (4.6) Ferndale, per Wanderlog Google data (wanderlog.com/list/geoCategory/1862498)","Sandi",drafted,,"Apple App Store and Google Play searches for 'Red Hook coffee Detroit' return only unrelated apps (Red Hook Pickleball, national coffee brands); no branded ordering app. Verified 2026-07-21."
2,"Dessert Oasis Coffee Roasters","Downtown Detroit (plus Rochester, Royal Oak, Ferndale)",info@dessertoasiscoffee.com,"668 Google reviews (4.5) for Royal Oak location, per Wanderlog Google data (wanderlog.com/list/geoCategory/288544)","Nathan",drafted,,"App Store search for 'Dessert Oasis Coffee' returns only unrelated apps (Blue Bottle, Joe Coffee marketplace, 'The Coffee Oasis' is a Washington nonprofit); Google Play likewise. Verified 2026-07-21."
3,"The Narrow Way Cafe & Shop","Livernois Avenue of Fashion",info@thenarrowwaycafe.com,"385 Google reviews (4.8), per Wanderlog Google data (wanderlog.com/list/geoCategory/1862498)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Narrow Way Cafe'; site uses generic web ordering only. Verified 2026-07-21."
4,"Milwaukee Caffe","Milwaukee Junction",mornin@milwaukeecaffe.com,"236 Google reviews (4.7), per Wanderlog Google data (wanderlog.com/list/geoCategory/17937) - slightly under 250, strong rating","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Milwaukee Caffe'. Verified 2026-07-21."
5,"Trinosophes","Eastern Market",trinosophes@gmail.com,"330 Google reviews (4.6), per Wanderlog Google data (wanderlog.com/list/geoCategory/1862498)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Trinosophes'. Verified 2026-07-21."
6,"Detroit Sip","University District (W McNichols)",info@detroitsip.com,"256 Google reviews (4.8), per Wanderlog Google data (wanderlog.com/list/geoCategory/1862498)","Jevona",drafted,,"No branded app in Apple App Store or Google Play searches for 'Detroit Sip'. Verified 2026-07-21."
7,"Atomic Coffee","Royal Oak",jwhanna@hannaventures.com,"1,536 Google reviews (4.4), per Wanderlog Google data (wanderlog.com/list/geoCategory/288544)","Jack",drafted,,"The only 'Atomic Cafe' app on the App Store belongs to The Atomic Cafe Inc., an unrelated New England coffee chain; Google Play search for 'atomic coffee royal oak' returns nothing branded. Verified 2026-07-21."
8,"Germack Coffee Roasting Co.","Eastern Market",orders@germack.com,"482 Google reviews (4.6) for the Russell St cafe, per Wanderlog Google data (wanderlog.com/list/geoCategory/1862498)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Germack'. Verified 2026-07-21."
9,"Drifter Coffee","Ferndale",driftercoffee@gmail.com,"563 Google reviews (4.7), per Wanderlog Google data (wanderlog.com/list/geoCategory/17937)","",drafted,,"App Store search for 'Drifter Coffee' returns only 'Desert Drifter Coffee' by KEY Coffee LLC, an unrelated company; Google Play shows only a game. Verified 2026-07-21."
10,"Yellow Light Coffee & Donuts","Jefferson-Chalmers (E Jefferson)",hello@yellowlightdetroit.com,"353 Google reviews (4.6), per Wanderlog Google data (wanderlog.com/list/geoCategory/17937)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Yellow Light Coffee'. Verified 2026-07-21."
11,"The Commons","Mack Ave / 48214 (Islandview-Pingree Park)",info@thecommonsdetroit.com,"345 Google reviews (4.8), per Wanderlog Google data (wanderlog.com/list/geoCategory/1862498)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'The Commons Detroit coffee'; online ordering is a generic Square-style web store. Verified 2026-07-21."
12,"Cafe Sous Terre","Midtown (W Forest Ave)",bonjour@cafesousterre.com,"437 Google reviews (4.7), per Wanderlog Google data (wanderlog.com/list/geoCategory/17937)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Cafe Sous Terre'; ordering is generic 'Order Online' web only. Verified 2026-07-21."
13,"Dellah Coffee & Brunch House","Dearborn",contact@dellahcoffeebrunch.com,"1,110 Google reviews (4.7), per Wanderlog Google data (wanderlog.com/list/geoCategory/18158)","",drafted,,"App Store search for 'Dellah' returns no apps at all; Google Play search returns nothing branded. Verified 2026-07-21."
14,"Folk Detroit","Corktown (Trumbull Ave)",rohani@folkdetroit.com,"577 Google reviews (4.4), per Wanderlog Google data (wanderlog.com/list/geoCategory/17937)","Rohani",drafted,,"No branded app in Apple App Store or Google Play searches for 'Folk Detroit'. Verified 2026-07-21."
15,"MK Cannelle","Downtown (W Grand River Ave)",info@goldenwheatbakehouse.com,"1,640 Google reviews (4.6) for the downtown location, per Wanderlog Google data (wanderlog.com/list/geoCategory/17937)","Matt",drafted,,"No branded app in Apple App Store or Google Play searches for 'Cannelle Detroit' (only a French recipe app of the same name). Verified 2026-07-21."
16,"Cacao Tree Cafe","Royal Oak (W 4th St)",hello@cacaotreecafe.com,"335 Google reviews (4.7), per Wanderlog Google data (wanderlog.com/list/geoCategory/288544)","",drafted,,"No branded app in Apple App Store or Google Play searches for 'Cacao Tree Cafe'. Verified 2026-07-21."
