rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Fox in the Snow Cafe","Italian Village (flagship), plus German Village, Clintonville, New Albany, Dublin, Westerville",info@foxinthesnow.com,"~2,000+ Google reviews at the Italian Village flagship (estimate; Google listing not directly fetchable this session)","Jeff",drafted,,"Apple App Store search (iTunes Search API, Jul 2026) and Google Play search return only unrelated games; website is BentoBox with web store only, no branded ordering app."
2,"Stauf's Coffee Roasters","Grandview Heights (flagship), plus German Village, Victorian Village, North Market",staufs@staufs.com,"~1,500+ Google reviews at the Grandview flagship (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; Squarespace site with web-only Order Ahead."
3,"One Line Coffee","Short North (745 N High St), plus Capitol Square and Franklinton at River & Rich",susan@onelinecoffee.com,"~700+ Google reviews at the Short North cafe (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; online ordering is generic Toast web pages (toasttab.com/one-line-coffee-short-north-745-n-high-st and Capitol Square / River & Rich equivalents)."
4,"The Roosevelt Coffeehouse","Downtown Discovery District (300 E Long St), plus Gravity in Franklinton",therooseveltcoffeehouse@gmail.com,"~1,000+ Google reviews at the Long Street location (estimate; Google listing not directly fetchable this session)","Kenny",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; online orders run through a generic Square site (the-roosevelt-coffeehouse.square.site)."
5,"Mission Coffee Co.","Short North (11 Price Ave), plus Southside (2060 S High St)",sales@missioncoffeeco.com,"~600+ Google reviews at the Short North roastery cafe (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app for this shop in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; the 'Mission House Rewards' iOS app belongs to Mission House Coffee LLC, an unrelated company. Online sales run on a generic Shopify store."
6,"Upper Cup Coffee","Olde Towne East (79 Parsons Ave), plus Creekside Gahanna",holla@uppercupcoffee.com,"~500+ Google reviews at the Parsons Avenue shop (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; Squarespace site with web shop only."
7,"Global Gallery Coffee Shop","Clintonville (3535 N High St)",globalgallery91@gmail.com,"~250 Google reviews (estimate; Google listing not directly fetchable this session; clear Clintonville neighborhood anchor, open since 1991 as an organization)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; Squarespace site, no online ordering."
8,"Kittie's Cakes & Cafe","German Village bakery (495 S 3rd St), plus cafes in Bexley and Worthington",info@kittiescakes.com,"~300+ Google reviews per location (estimate; Google listing not directly fetchable this session; established German Village anchor)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; ordering is a web-only 'Order togo' page on their own Squarespace site."
9,"Royal Flamingo Coffee","Fifth by Northwest / Grandview edge (945 King Ave)",royalflamingocoffee@gmail.com,"~250 Google reviews (estimate; Google listing not directly fetchable this session; prior research: USA Today 10Best #2 coffee shop 2025)","Bryan",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search (only unrelated flamingo games); Squarespace site with web shop."
10,"Kafe Kerouac","Old North / OSU campus (2250 N High St)",mike@kafekerouac.com,"~800+ Google reviews (estimate; Google listing not directly fetchable this session)","Mike",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; no online ordering at all on the site."
11,"Bottoms Up Coffee","King-Lincoln Bronzeville / Near East Side (350 Mt. Vernon Ave)",events@bottomsupcoffee.com,"~350+ Google reviews (estimate; Google listing not directly fetchable this session; Nextdoor Neighborhood Favorite winner per own site)","",drafted,,"No branded app for this shop; the 'Bottoms Up Ordering' iOS app belongs to Bottoms Up Espresso, an unrelated California drive-thru chain. Ordering runs through a generic Square site (bottoms-up-coffee.square.site)."
12,"Pistacia Vera","German Village (S 3rd St)",hello@pistaciavera.com,"~1,000+ Google reviews (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; ordering is a generic Square site (pistacia-vera.square.site) linked from the homepage."
13,"Emmett's Cafe","Brewery District / German Village south (744 S High St), plus 2571 Neil Ave near OSU",info@emmettscafe.com,"~400+ Google reviews per location (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; ordering is a web-only page on their own Squarespace site."
14,"Kolache Republic","Brewery District / German Village (702 S High St)",sales@kolacherepublic.com,"~500+ Google reviews (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; site is WordPress/WooCommerce with web ordering only."
15,"Freedom a la Cart Cafe + Bakery","Downtown (123 E Spring St)",info@freedomalacart.org,"~500+ Google reviews (estimate; Google listing not directly fetchable this session)","",drafted,,"No branded app in Apple App Store search (iTunes Search API, Jul 2026) or Google Play search; online orders go through their own website (order@freedomalacart.org listed for orders)."
