rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Thinking Cup","Downtown / Theatre District (plus North End and Back Bay)",info@thinkingcup.com,"~2,037 Google reviews at 4.5 stars for the Tremont St flagship alone","Hugh",drafted,,"Online ordering is a generic web pickup page at thinkingcup.online plus a joe.coffee listing; no branded Thinking Cup app found in App Store or Google Play searches."
2,"Gracenote Coffee","Leather District / Downtown",orders@gracenotecoffee.com,"Yelp 259; Google estimated 500-800 (exact Google count not observed)","Patrick",drafted,,"Pickup ordering runs through the generic Ritual platform (ritual.co) plus DoorDash; bean sales on a Shopify site. No branded app found."
3,"Ogawa Coffee","Downtown Crossing",info@ogawacoffeeusa.com,"~1,640 Google reviews at 4.4 stars","",drafted,,"Online ordering is a generic page on their own Squarespace site (ogawacoffeeusa.com/s/order) plus a joe.coffee listing. No branded app found."
4,"Jaho Coffee Roaster","Downtown / Chinatown (plus South End and Back Bay cafes)",info@jaho.com,"~2,301 Google reviews at 4.2 (Chinatown) plus ~1,219 at 4.1 (South End)","Anil",drafted,,"Order-ahead runs through a generic page on their Shopify site (jaho.com/pages/order-ahead) plus joe.coffee listings and delivery platforms. No branded Jaho app found."
5,"George Howell Coffee","Downtown Crossing (Godfrey Hotel; also Boston Public Market and Back Bay)",info@georgehowellcoffee.com,"Google count not observed; Yelp 371 (Godfrey) + 99 (Public Market); Google likely 700-1,000 for the Godfrey cafe","George",drafted,,"Godfrey Hotel cafe ordering runs on generic Toast (toasttab.com); webstore on Shopify. No branded consumer app found."
6,"Phin Coffee House","Financial District",Phincf1221@gmail.com,"~737 Google reviews at 4.8 stars","Oanh",drafted,,"Ordering via generic joe.coffee listing and Grubhub delivery. No branded app found."
7,"Broadsheet Coffee Roasters","Cambridge (Kirkland St, between Harvard and Inman Squares)",hi@broadsheetcoffee.com,"~890 Google reviews at 4.6 stars","Aaron",drafted,,"Website is a Shopify storefront for beans; cafe has only a third-party joe.coffee directory page. site:apps.apple.com search returned no branded app."
8,"3 Little Figs","Somerville (Spring Hill, Highland Ave)",info@3littlefigs.com,"943 Google reviews at 4.7 stars","Katie",drafted,,"Online ordering is a generic Toast page (order.toasttab.com/online/3-little-figs); site:apps.apple.com search returned no branded app."
9,"Ula Cafe","Jamaica Plain (Haffenreffer Brewery Complex)",beth@ulacafe.com,"~1,152 Google reviews at 4.2 stars","Beth",drafted,,"Uses generic Toast online ordering (order.toasttab.com/online/ulacafe); site:apps.apple.com search returned no branded app."
10,"City Feed and Supply","Jamaica Plain (Centre St and Boylston St)",community@cityfeedandsupply.com,"~625 Google reviews at 4.3 stars (Centre St store)","David",drafted,,"Online ordering runs on a generic white-label web store at shop.cityfeedandsupply.com; site:apps.apple.com search returned no branded app."
11,"Cafe Fixe","Brookline (Washington Square)",cafefixe@gmail.com,"~894 Google reviews","",drafted,,"No online ordering found at all; walk-in espresso bar only. site:apps.apple.com search returned no branded app."
12,"Rifrullo Cafe","Brookline (Brookline Village, Cypress St)",colleen@rifrullocafe.com,"~460-586 Google reviews at 4.7 stars","Colleen",drafted,,"Online ordering is a generic Square site (rifrullocafe.square.site); site:apps.apple.com search returned no branded app."
13,"The Video Underground","Jamaica Plain (Washington St)",TheVUinJP@gmail.com,"251 Google reviews at 4.9 stars","Kevin",drafted,,"Sells coffee and media subscriptions through its own website only (thevuinjp.com); site:apps.apple.com search returned no branded app."
14,"Jadu Cafe and Wine Bar","Jamaica Plain (Centre St)",hello@jaduboston.com,"~112 Google reviews at 4.7 stars (opened Dec 2024; below the 250 preference, noted)","Maya",drafted,,"Website has a contact form and cart but no proprietary mobile app; site:apps.apple.com search returned no branded app."
15,"Caffe Paradiso","North End (Hanover St)",info@CaffeParadisoboston.com,"Google plausibly 1,000+ (Yelp 370, Facebook 832 reviews; exact Google count not observed)","",drafted,,"No branded app found in App Store or Google Play searches; no online ordering beyond a joe.coffee directory listing."
16,"Sip Cafe","Financial District (Post Office Square)",catering@sipboston.com,"Yelp 211; Google estimated 500-1,000 (exact count not observed)","",drafted,,"joe.coffee's own listing states mobile ordering is not available at Sip yet; catering runs through email and ezCater. No branded app in store searches."
17,"Flat Black Coffee Company","Dorchester (Lower Mills)",info@flatblackcoffee.com,"~166 Google-scale reviews at 4.5 for Lower Mills (below the 250 preference; re-check before outreach)","David",drafted,,"App Store and Google Play searches return no branded app; ordering is walk-in plus a joe.coffee directory listing."
18,"Revival Cafe + Kitchen","Somerville (Davis Sq), plus Cambridge, Allston, Boston x2, Watertown, Lexington",allston@revivalcafeandkitchen.com,"Estimated 1,500+ aggregate across 7 locations (exact Google counts not observed)","",drafted,,"Online ordering runs entirely on generic Toast pages (e.g. toasttab.com/local/order/revivalcafeandkitchendavis); no branded app found in store searches."
19,"Farmers Horse Coffee","Back Bay / South End border (Massachusetts Ave)",support@farmershorsecoffee.com,"Yelp 300; Google estimated 600+ (exact count not observed)","Kassegn",drafted,,"No branded app found in App Store or Google Play searches; online ordering is a generic DoorDash storefront (order.online)."
20,"Kohi Coffee Company","South End (Revolution Hotel) and Brighton (Boston Landing); third location Provincetown",info@kohicoffee.com,"Google estimated 300-600 across locations (Yelp 119 Brighton + 167 Provincetown; exact counts not observed)","",drafted,,"Ordering runs on a generic Square Online site (kohicoffee.square.site/s/order); no branded app. The 'KOHI Coffee and Pastries' App Store app belongs to an unrelated Las Vegas cafe (kohi.lv), not this company."
