rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Blueprint Coffee","Delmar Loop (plus Watson Rd, Washington Ave, 39th St)",orders@blueprintcoffee.com,"409 Yelp reviews at Delmar location plus 115 at Watson Rd (Yelp listings, Jul 2026); Google counts not fetchable this session but run well above Yelp across 4 locations","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Blueprint Coffee' return only unrelated apps (Jul 2026); cafes are listed on the joe.coffee marketplace"
2,"Coma Coffee Roasters","Richmond Heights (near Clayton)",support@comacoffee.com,"321 Yelp reviews (Yelp listing, Jun 2026); Google count not fetchable this session, typically higher than Yelp","Macy",drafted,,"No branded app: iTunes Search API and Google Play search for 'Coma Coffee' return only unrelated apps (Jul 2026); online ordering runs on a generic Square Online site (ordercoma.com)"
3,"The Mud House","Cherokee Street",mudhousestl@gmail.com,"1,198 Yelp reviews (Yelp listing, Jul 2026); Google count not fetchable this session, typically higher than Yelp","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Mud House' return only unrelated apps and games (Jul 2026); listed on the joe.coffee marketplace"
4,"Fiddlehead Fern Cafe","Shaw",info@fiddleheadferncafe.com,"355 Yelp reviews (Yelp listing, Jul 2026); Google count not fetchable this session, typically higher than Yelp","Darcy",drafted,,"No branded app: iTunes Search API and Google Play search for 'Fiddlehead Fern' return only unrelated apps; the only 'Fiddleheads Coffee' app belongs to an unrelated Wisconsin chain (Jul 2026)"
5,"Coffeestamp","Fox Park / South Jefferson (near Cherokee)",cafe@coffeestamp.us,"Rated 4.9, highest verified public rating of any STL coffee shop (mycoffeeexplorer.com STL guide, 2026); 189 reviews on Restaurantji aggregate; Google count not fetchable this session","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Coffeestamp' return only unrelated loyalty and POS apps by other companies (Jul 2026); ordering runs on a generic Square site (coffeestamp.square.site) and joe.coffee"
6,"La Cosecha Coffee Roasters","Maplewood",hello@lacosechacoffee.com,"80 Yelp reviews (Apr 2026) and 151 on Restaurantji aggregate; Google count not fetchable this session. Named anchor candidate, counts run lighter than others","",drafted,,"No branded app: iTunes Search API and Google Play search for 'La Cosecha' return only unrelated church and produce apps (Jul 2026); listed on the joe.coffee marketplace"
7,"Living Room Coffee & Kitchen","Maplewood",info@livingroomstl.com,"379 Yelp reviews (Yelp listing, Jun 2026); Google count not fetchable this session, typically higher than Yelp","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Living Room Coffee' return only unrelated apps (Jul 2026); listed on the joe.coffee marketplace"
8,"Hartford Coffee Company","Tower Grove South",theguys@hartfordcoffee.com,"295 Yelp reviews (Yelp listing, Jul 2026) and 273 on Restaurantji aggregate; Google count not fetchable this session","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Hartford Coffee' return only unrelated apps (Jul 2026); listed on the joe.coffee marketplace"
9,"Park Avenue Coffee","Lafayette Square (plus The Hill and Cortex)",info@parkavenuecoffee.com,"305 Yelp reviews at Lafayette Square, 155 at The Hill, 42 at Cortex (Yelp listings, Jun to Jul 2026); Google counts not fetchable this session","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Park Avenue Coffee' return only unrelated apps (Jul 2026); all three cafes are listed on the joe.coffee marketplace"
10,"Protagonist Cafe","Soulard",info@protagonistcafe.com,"189 Yelp reviews (Yelp listing, Jun 2026); Google count not fetchable this session, typically higher than Yelp","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Protagonist' return only unrelated habit trackers and games (Jul 2026)"
11,"Goshen Coffee Roasters (Soulard cafe)","Soulard",info@goshencoffee.com,"92 Yelp reviews for the Soulard cafe opened in the former Soulard Coffee Garden space (Yelp, Jul 2026); Google count not fetchable this session. Roaster brand is long established metro wide","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Goshen Coffee' return only unrelated apps (Jul 2026); ordering runs on a generic Square site (goshencoffee.square.site) and joe.coffee"
12,"The Annex Coffee & Foods","Webster Groves (Old Orchard)",theannex@thefriscostl.com,"Count not directly capturable this session (review aggregators bot blocked); established Old Orchard cafe, flag for a quick manual Google check before sending","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Annex Coffee' return only unrelated apps (Jul 2026)"
13,"Picasso's Coffee House","St. Charles Main Street (metro St. Louis)",store@picassoscoffeehouse.com,"Count not directly capturable this session (review aggregators bot blocked); long running Main Street anchor, flag for a quick manual Google check before sending","",drafted,,"No branded app: iTunes Search API and Google Play search for "Picasso's" return only unrelated pizza and art apps (Jul 2026); website runs on generic Square Online"
14,"Half & Half","Clayton",info@halfandhalfstl.com,"Count not directly capturable this session (review aggregators bot blocked); one of the metro's best known brunch destinations with a large review base, flag for a quick manual Google check","",drafted,,"No branded app: iTunes Search API and Google Play search return only an unrelated Irish 'Half and Half Coolmine' app (Jul 2026); ordering is website curbside plus Postmates and Grubhub per their own site"
15,"The Wolf Cafe","Ballwin (West County)",us@thewolfstl.com,"Count not directly capturable this session (review aggregators bot blocked); long established West County cafe operating since 2015 per site metadata, flag for a quick manual Google check","",drafted,,"No branded app: iTunes Search API and Google Play search for 'Wolf Cafe' return only an unrelated Orlando 'White Wolf Cafe' app and games (Jul 2026); online ordering runs through their own website"
