rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Mom 'n 'em Coffee & Wine","Camp Washington (also Madisonville)",info@theferraribros.com,"~250-400 total across platforms (Yelp 156 + 73; Restaurantji 247 + 122); Google-native count not directly readable","Tony",drafted,,"No App Store presence found; the website is a Shopify storefront for beans and wine with no mobile ordering or app anywhere."
2,"Carabello Coffee","Newport, KY",coffee@carabellocoffee.com,"Yelp 344; Google count not directly readable but likely higher","Justin",drafted,,"No branded app in the App Store; order ahead runs through the shared third party Joe coffee app (joe.coffee listing)."
3,"Deeper Roots Coffee","Oakley / Findlay Market OTR / Downtown",info@deeperrootscoffee.com,"~330+ on Yelp across locations (223 Oakley + 107 OTR); Google count not directly readable","Les",drafted,,"Suspected app verified NOT to exist: zero App Store or Google Play results, and online ordering is a generic Square site (deeperrootscoffee.square.site)."
4,"Coffee Emporium","Over-the-Rhine / Downtown / Hyde Park / Xavier",contact@coffee-emporium.com,"~1,000 Yelp across two main cafes (668 + 332); Restaurantji shows 4.7 Google with 368 at one location","",drafted,,"Suspected app verified NOT theirs: the App Store's 'The Coffee Emporium' app is an Australian chain; the Cincinnati company has no mobile ordering at all (joe.coffee: 'Mobile ordering isn't available yet') and loyalty is a paper punch card."
5,"1215 Wine Bar & Coffee Lab","Over-the-Rhine",info@1215vine.com,"Yelp 322; Google count not directly readable, likely mid hundreds","Joanna",drafted,,"No app store presence; ordering runs through generic Upserve web checkout and a joe.coffee listing."
6,"Iris BookCafe & Gallery","Over-the-Rhine",irisbookcafegallery@gmail.com,"~420 (Restaurant Guru aggregate citing 4.6 Google rating); Yelp 156","Julie",drafted,,"No app found in App Store searches and the joe.coffee listing states mobile ordering isn't available yet."
7,"Sidewinder Coffee","Northside",info@sidewindercoffee.com,"~760 Google reviews at 4.5 stars (aggregator snippets); Yelp 208","Kim",drafted,,"No branded app in the App Store; only a Squarespace bean webshop and a generic joe.coffee listing."
8,"Lookout Joe Coffee Roasters","Mt. Lookout",coffee@lookoutjoe.com,"~150-200 Google (snippets show 4.6 with 191)","Olivia",drafted,,"No branded app; bean sales run through a generic Square site and joe.coffee order ahead is not enabled."
9,"La Terza Coffee","Lockland (roasterie) / College Hill (Luminary)",info@laterzacoffee.com,"~275 combined Google (roasterie ~95 at 4.8; Luminary ~180 at 4.6)","David",drafted,,"No branded app in App Store results; cafe ordering is via the shared Joe app and bean sales via a generic Shopify store."
10,"Rohs Street Cafe","Clifton Heights",management@rohsstreetcafe.com,"~400-580 Google at 4.7 (chamberofcommerce.com 403, Birdeye 562, joe.coffee 583)","",drafted,,"No branded app; online ordering is a generic Square site (rohs-street-cafe.square.site) plus a joe.coffee listing."
11,"BLOC Coffee Company","East Price Hill (Incline District) + City Hall",info@bloccoffeecompany.com,"~719 Google at 4.8 (Google-mirroring aggregator); Yelp 181","",drafted,,"No branded app on the App Store; ordering is via a joe.coffee listing and Grubhub for the City Hall location."
12,"Left Bank Coffeehouse","Covington, KY",leftbankcoffeehouse@yahoo.com,"~200 at 4.8 (localcoffeeshops.org aggregate 208); Yelp 121","Jackie",drafted,,"No app store presence and no branded ordering platform found; the shop lists carry out only."
13,"Roebling Books & Coffee","Covington, KY (also Newport and Dayton, KY)",info@roeblingbooks.com,"~819 Google at 4.7 for the Covington flagship (Google-mirroring aggregator)","Richard",drafted,,"No app store presence; sales are in store plus a bookshop.org affiliate page, with no branded ordering platform."
14,"The Roost Latonia","Latonia, Covington, KY",info@theroostlatonia.com,"~190-215 Google at 4.9 (Restaurant Guru 215; wheree 190)","Billie",drafted,,"No branded app in App Store results; the shop is listed on the third party joe.coffee marketplace only."
15,"The Kidd Coffee Co.","Downtown (multiple locations incl. Cincinnatian Hotel)",info@kiddcoffee.com,"~100-205 per location, split across roughly 4 downtown sites (601 Vine: 4.8 with ~99 Google; ~205 Restaurant Guru)","",drafted,,"No branded app; online ordering is generic Dripos web checkout linked from kiddcoffee.com."
16,"Caffe Vivace","Walnut Hills",caffevivace@gmail.com,"~581 Google at 4.7 (Google-mirroring aggregator)","Brent",drafted,,"No App Store result for the shop; it is listed on the third party joe.coffee marketplace only."
