rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Steam Espresso Bar","Platt Park",hani@steamespressobar.com,"401 Yelp reviews (Platt Park), Google rating 4.6","Hani",drafted,,"No branded app in either app store; both locations run order-ahead through third-party joe.coffee"
2,"Stella's Coffee Haus","Platt Park / Wash Park",hello@stellascoffee.com,"~2,300 Google reviews at 4.6 (Wanderlog/Birdeye aggregation); 521 Yelp","Stan",drafted,,"No branded app; the 'Stellas Coffee Bar' App Store app is an unrelated Iowa shop; joe.coffee listing says mobile ordering isn't available yet"
3,"Whittier Cafe","Whittier / Five Points",thewhittiercafe@gmail.com,"~1,160 Google reviews at 4.8 (restaurantguru aggregation); 190 Yelp","Millete",drafted,,"No app store listing; joe.coffee page plus generic Square site (whittiercafe.square.site)"
4,"Hooked on Colfax","East Colfax / City Park",spero@hookedoncolfax.com,"~880 Google reviews at 4.6 (Birdeye aggregation); 360 Yelp","Scott",drafted,,"No app store listing; joe.coffee listing plus generic Square site (hookedoncolfax.square.site)"
5,"The Weathervane Cafe","Uptown",hello@weathervanecafe.com,"~1,370 Google reviews at 4.7 (aggregator snippets; Birdeye mirror 1,167); 445 Yelp","Lindsay",drafted,,"No branded app; order-ahead runs on a generic Square Online site (weathervanecafe.square.site)"
6,"Crema Coffee House","RiNo / Five Points",cremadenver@gmail.com,"759 Yelp reviews (highest Yelp count in this list); Tripadvisor 4.6","Noah",drafted,,"No app store listing; no online ordering platform found, counter service only"
7,"Little Owl Coffee","LoDo",community@littleowlcoffee.com,"573 Yelp reviews (Blake St); LoHi location 4.6 stars / 122 Google","Seanna",drafted,,"No branded app; order-ahead runs through third-party joe.coffee marketplace"
8,"Pablo's Coffee","Capitol Hill / Alamo Placita",shop@pabloscoffee.com,"~660 Yelp reviews across 3 locations (400 at 6th Ave); Tripadvisor 4.5","Craig",drafted,,"No app store listing; Shopify web store for beans, generic joe.coffee listing for Penn St cafe"
9,"Thump Coffee","Capitol Hill",info@thumpcoffee.com,"~1,300 Google reviews at 4.5 (aggregator snippets); 547 Yelp","Bobby",drafted,,"No app store listing; website shop plus generic joe.coffee listing"
10,"Queen City Collective Coffee","Five Points",info@queencityroasting.com,"391 Google reviews at 4.6 (Five Points, via Wanderlog)","",drafted,,"No app store listing; joe.coffee listing says mobile ordering not available yet"
11,"Middle State Coffee","Baker / Santa Fe Arts District",info@middlestatecoffee.com,"~137 Google reviews at 4.6 (joe.coffee snippet); ~100 Yelp across 2 cafes; below the 250 preference","Jay",drafted,,"No app store listing; joe.coffee page says mobile ordering isn't available yet"
12,"Corvus Coffee Roasters","South Broadway (SoBo)",hello@corvuscoffee.com,"526 Yelp reviews (S Broadway) + 233 (DTC); Google rating 4.7","Phil",drafted,,"No app store listing (searches return only unrelated CorvusPay etc.); homegrown web pickup ordering at ordercorvus.com marked work in progress"
13,"Sweet Bloom Coffee Roasters","Lakewood (Denver metro)",orders@sweetbloomcoffee.com,"222 Yelp reviews, ~4.8 aggregate rating; slightly below the 250 preference","Andy",drafted,,"No app store listing (searches return only the unrelated Bloom coffee-map app); website bean sales only, no order-ahead app"
14,"Logan House Coffee","Central Park / Stanley Marketplace",info@loganhousecoffee.com,"~254 Google reviews (Wanderlog) / 425 on joe.coffee aggregate; 166 Yelp at Stanley","Andre",drafted,,"No branded app; ordering via generic Toast web page (order.toasttab.com/online/logan-house-coffee-15th-st) and Shopify bean store"
15,"Prodigy Coffeehouse","Elyria-Swansea / Globeville",jeslin@prodigyventures.org,"~970 Google reviews at 4.5 (flagship, Birdeye) + ~195 at Globeville","Jeslin",drafted,,"No app store listings; both joe.coffee location pages say mobile ordering isn't available yet"
16,"OZO Coffee Roasters","Pearl Street (Boulder)",info@ozocoffee.com,"~910 Google reviews at 4.6 (West Pearl alone); 356 Yelp","Justin",drafted,,"No app store listing found; cafes listed on third-party joe.coffee marketplace"
17,"Boxcar Coffee Roasters","Pearl Street (Boulder)",info@boxcarcoffee.com,"481 Yelp reviews (Pearl cafe); Tripadvisor 4.6, top 35 of Boulder restaurants","Vajra",drafted,,"No app store listing; only a third-party joe.coffee page for the Mesa cafe"
18,"Trident Booksellers & Cafe","Pearl Street (Boulder)",info@tridentcafe.com,"~1,656 reviews at 4.6 (joe.coffee aggregation, likely Google-derived); 277 Yelp","",drafted,,"No branded app; joe.coffee listing explicitly says mobile ordering isn't available here yet"
