Rank,Shop name,Area,Google reviews,Instagram,Website,Email,Phone,Owner,Opener detail,POS signal,Touch 1,Replied?,Status,Notes
1,Balancero,Astoria,~800 (5.0),@balanceronyc,balanceronyc.com,balanceronyc@gmail.com,?,?,Perfect 5.0 stars; owner greets regulars by name,none - no online ordering at all,,,New,Best lead in NYC: huge + flawless rating + zero ordering tech
2,Roots Cafe,Park Slope,~765 (4.6),@rootsbrooklyn,rootsbrooklyn.com,patricia@rootsbrooklyn.com,(929) 301-5535,Patricia,Runs a free Grassroots food pantry by the door + Americana open-mics,SQUARE confirmed,,,New,Owner-named email + Square = easiest close profile
3,Buunni Coffee,Washington Heights,multi-loc (4.4),@buunnicoffee,buunnicoffee.com,info@buunnicoffee.com,(212) 568-8700,Elias,Husband-wife founders met in Ethiopia; roast own Ethiopian beans; Forbes 4/2024,SQUARE confirmed,,,New,3-4 locations on Square no app
4,Culture Espresso,Midtown,"1,729 (4.6)",@cultureespresso,cultureespresso.com,info@cultureespresso.com,(212) 302-0200,?,Famous gooey chocolate chip cookies baked all day,delivery only,,,New,Cult following 2 locations no app
5,Urban Backyard,Nolita,"1,059 (4.7)",@urbanbackyardnyc,urbanbackyardnyc.com,hello@urbanbackyardnyc.com,(646) 692-9957,?,Succulent-shaped cupcakes + take-a-pot-leave-a-pot plant swap,Grubhub only,,,New,
6,Voyager Espresso,FiDi,~694 (4.9),@voyagerespresso,voyagerespresso.com,info@voyagerespresso.com,(212) 227-2744,?,Spaceship-pod cafe inside the Fulton St subway; roasts in-house,none,,,New,
7,Bakeri,Williamsburg/Greenpoint,"~1,793 (4.5)",@bakeribrooklyn,bakeribrooklyn.com,catering@bakeribrooklyn.com,(718) 388-8037,Nina,Norwegian owner; one of NYC's best cinnamon buns,?,,,New,3 locations 36K IG
8,Moss Café,Riverdale Bronx,846 (4.2),@mosscafeny,mosscafeny.com,hello@mosscafeny.com,(347) 275-5000,Emily,Kosher farm-to-table; launched via $51K Kickstarter with 333 neighborhood backers,none,,,New,
9,Bibble & Sip,Hell's Kitchen,"~2,000+ (4.4)",@bibbleandsip,bibbleandsip.com,bibbleandsip@gmail.com,(646) 649-5116,Gary,Llama mascot + matcha cream puffs,phone orders only,,,New,Massive volume zero ordering tech
10,Colina Cuervo,Crown Heights,695 (4.6),@colinacuervobklyn,colinacuervo.com,info@colinacuervo.com,(718) 552-2005,Jorge,Worked dishwasher-to-manager at Momofuku; famous horchata lattes,none live,,,New,
11,OFF-PEAK COFFEE,Flushing,~650 (4.8),@offpeak_coffee,offpeakcoffee.com,contact form,?,?,Signature Rooicoco drink; heart of Main St Flushing,delivery only,,,New,
12,Kuro Kirin Espresso,Washington Heights,345 (4.5),@kurokirinnyc,kurokirinnyc.square.site,see square.site,(646) 838-5900,?,Name means black giraffe; matcha latte + rotating local art,SQUARE confirmed,,,New,
13,Butler,Williamsburg +3,? (4.4),@butlerbakeshop,butler-nyc.com,info@butler-nyc.com,(718) 489-8785,?,Architect-designed cafes near Domino Park; famous sausage rolls,SQUARE confirmed,,,New,
