Rank,Shop name,Town,Instagram,Website,Email,Phone,Owner name,Opener detail (their drink/dog/mural),Google reviews,Uses Square?,Touch 1 date (email/DM),Touch 2 date (nudge),Touch 3 date,Replied?,Demo booked?,Status,Notes
1,Safai Coffee,Louisville - Highlands,@safaicoffeeshop,safaicoffee.com,orders@safaicoffee.com,(502) 222-8922,Mike Safai,Started 1998 in a 72 sq ft drive-thru kiosk; his SAFAI Project replanted 620 farms in Honduras,"1,133 (4.6)",?,,,,,,New,No app AND no online ordering at all - biggest gap on the list
2,Fante's Coffee House,Louisville - Irish Hill,@fantescoffee,fantescoffee.com,maryfante1@gmail.com,(502) 454-0543,Leo Fante,Leo has roasted on-site since 1978 and mentors new indie shop owners,"1,064 (4.6)",?,,,,,,New,Single busy shop; email appears to be Mary Fante (family)
3,Witches Brew Coffee,Louisville - Clifton,@witchesbrewcoffee502,none (IG/FB only),DM on Instagram,?,Mariah Tran,Purple haunted-house shop; Poison Apple Latte; voted LEO Weekly best coffee shop 2025,433 (4.6),?,,,,,,New,No website = no email; DM first then ask for email. 14k IG followers
4,Bamboo Coffee & Donuts,Louisville - East End,@bamboo.lou,bamboosweets.com,hello@bamboosweets.com,(502) 333-0769,?,Southeast Asian menu (lavender fields matcha) + handmade cake donuts; opening 2nd shop at Douglass Loop,330+ (4.9),?,,,,,,New,Expanding to 2nd location - perfect timing for an app
5,JW Cafe & Bakery,Louisville - East End/Middletown,@jw_cafebakery,none found,contact form only,(502) 907-5248,?,Korean-fusion bakery - bulgogi next to tiramisu; the matcha gets rave reviews,432 (4.7),?,,,,,,New,No first-party ordering; reach via IG DM or phone
6,Full Stop Station,Louisville - Germantown,@full.stop.shop,fullstopstation.com,info@fullstopstation.com,(502) 260-8046,?,Converted corner gas station that is now cafe + corner market; horchata iced coffee,358 (4.5),No - Clover,,,,,,New,On Clover so no Square hook - pitch ordering+rewards instead
7,The Bean Roastery,Louisville - Germantown,@_beancoffee_,beangtown.com,beanroastery@gmail.com,(502) 785-4079,Billy Seckman,Names drinks after regular customers; Miel honey-cinnamon latte; owner 20 yrs in Germantown,~316 (4.6),?,,,,,,New,Drinks-named-after-regulars = a shop that would LOVE a rewards app
8,Phalcha Coffee,Louisville - Germantown + St. Matthews,@phalcha_coffee,phalchacoffee.com,contact form only,(502) 791-3128,4 Nepalese co-owners,Name means resting place in Newari; famous $11.50 flight of 4 mini signature lattes,~250 combined (4.7),?,,,,,,New,20K IG followers; explicitly lacks mobile ordering (Uber Eats only)
9,Coffee Crossing,New Albany/Jeffersonville IN,?,coffeecrossing.com,marketing@coffeecrossing.com,?,?,Grew from one shop to 8 Southern Indiana locations; downtown Jeffersonville pours coffee cocktails,655+ (4.7),?,,,,,,New,Biggest fish: 8 locations no app. Bigger deal = longer sale
10,La Pana Bakery y Cafe,Louisville - Shelby Park,@lapanabakery,lapana.square.site,contact form only,(502) 510-4281,Diego Hernandez,Diego is a 4th-generation Oaxacan-tradition baker; apple strudel has a cult following,205 (4.9) - UNDER 250,YES - Square site,,,,,,New,Exception to 250 rule: already on Square = easiest integration on the list
11,Sunergos Coffee,Louisville - 4 locations,@sunergos_coffee,sunergoscoffee.com,wholesale@sunergoscoffee.com,(502) 409-1464,Brian Miller & Matthew Hustad,Founders met at seminary in 2001; grew to 4 cafes + roastery,~600/location (4.8),Mixed - Toast + square.site,,,,,,New,Strong brand; mixed POS signals - clarify on call
