rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Milktooth","Fletcher Place",info@milktoothindy.com,"~2500 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","Jonathan",drafted,,"Apple App Store and Google Play searches for 'Milktooth' (2026-07-21, iTunes Search API + Play web search) return no restaurant app; carryout is ordered through the website only."
2,"Provider (Provider Cafe)","Martindale-Brightwood (E 16th St)",provider@tinkerhouseevents.com,"~600 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Provider app; site offers no order-ahead at all, only gift cards. Part of Small Victories Hospitality (with the upstairs Tinker House Events)."
3,"Monon Coffee Company","Broad Ripple",mononcoffeeco@gmail.com,"~900 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Monon Coffee app; the website has no online ordering at all (phone and walk-in only)."
4,"Parlor Public House","Downtown / Cole-Noble (600 E Ohio St, near Mass Ave)",info@parlorpublichouse.com,"~400 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Parlor Public House app; ordering and the 'Parlor Perks' loyalty program run through their Shopify website."
5,"Amberson Coffee & Grocer","Holy Rosary / Fletcher Place (401 S College Ave)",grocer@ambersoncoffee.com,"~450 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Amberson app; site has an online store for beans/gift cards only, no order-ahead app."
6,"Bovaconti Coffee","Fountain Square (1042 Virginia Ave)",info@bovaconticoffee.com,"~500 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store search for 'Bovaconti' (2026-07-21) returns nothing related; Google Play likewise. No order-ahead on the website."
7,"Calvin Fletcher's Coffee Company","Fletcher Place (647 Virginia Ave)",litsdog@yahoo.com,"~1100 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Calvin Fletcher's app; website has no order-ahead, contact is by form/phone."
8,"Leviathan Bakehouse","Old Northside / College Ave corridor (1101 N College Ave)",hello@leviathanbakehouse.com,"~650 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","Peter",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Leviathan Bakehouse app; takeout ordering and the 'Bakehouse Boons' loyalty program run through the website (Toast-style web ordering)."
9,"The Garden Table","Broad Ripple (plus Mass Ave and Carmel locations)",hello@thegardentable.com,"~1300 Google reviews for the Broad Ripple location (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Garden Table app; ordering is 'Order Online' web links per location."
10,"Nine Lives Cafe & Cat Lounge","Fountain Square (1315 Shelby St)",hello@ninelivescatcafe.com,"~600 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Nine Lives cafe app; lounge reservations are booked through the website, cafe is walk-up."
11,"Blue Mind Coffee (Blue Mind Roasting)","Meridian-Kessler / North side (Rose Building, 646 E 38th St)",bluemindcoffee@gmail.com,"~300 Google reviews (approx.; research estimate; clear neighborhood anchor so 150+ tier applies)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Blue Mind app; site sells beans online only, no order-ahead."
12,"Sidedoor Bagel","Near Eastside (E 10th St)",sidedoorbagel@gmail.com,"~700 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Sidedoor Bagel app; same-day web ordering only, and the site itself says online order slots are capped hourly."
13,"The Cake Bake Shop","Broad Ripple (plus Carmel location)",cake@thecakebakeshop.com,"~3000 Google reviews for Broad Ripple (approx.; research estimate, live Google listing fetch blocked from this environment)","Gwendolyn",drafted,,"Apple App Store search for 'Cake Bake Shop' (2026-07-21) returns only unrelated games; Google Play likewise. Online sales run through their Shopify site."
14,"Borage","Speedway",talktous@borageeats.com,"~500 Google reviews (approx.; research estimate, live Google listing fetch blocked from this environment)","",drafted,,"Apple App Store and Google Play searches for 'Borage' (2026-07-21) return nothing related; ordering and reservations run through their website."
15,"Coal Yard Coffee","Irvington (400 S Ritter Ave)",molly@alsinc.org,"~250 Google reviews (approx.; research estimate; clear Irvington neighborhood anchor so 150+ tier applies)","",drafted,,"Apple App Store and Google Play searches (2026-07-21) return no Coal Yard Coffee app; website has no online ordering, contact by form/phone."
