rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Barista Parlor","East Nashville (flagship) / The Gulch",info@baristaparlor.com,"~1,500-2,500 Google (rough; Yelp 672 at East flagship)","Andy",drafted,,"No app in App Store or Google Play searches; online orders run through generic Toast pages (order.toasttab.com/online/bpgt, /barista-parlor-500-w, toasttab.com/local/order/bpeast)."
2,"Frothy Monkey","12 South (original) + Downtown, East Nashville, The Nations",hello@frothymonkey.com,"~2,000+ Google per location (rough; Yelp 1,158 at 12South, 1,436 Downtown)","Ryan",drafted,,"No app in App Store or Google Play searches; ordering runs on generic Toast pages (order.toasttab.com/online/frothy-monkey-12-south, /frothy-monkey-downtown, /frothy-monkey-southside); only rewards are website credits on coffee-bag subscriptions."
3,"Bongo Java","Belmont-Hillsboro (flagship) / East Nashville (Bongo East)",info@bongojava.com,"~1,000-2,000 Google at Belmont flagship (one location shows 467 at 4.3, another 785 at 3.9)","Bob",drafted,,"No app store presence; online ordering routes to a NetWaiter web portal (bongojava.netwaiter.com); joe.coffee listings say mobile ordering is not available."
4,"Crema Coffee Roasters","Rutledge Hill (downtown edge) / East Nashville",hello@crema-coffee.com,"~2,000 Google at 4.6","Rachel",drafted,,"No app store presence; online ordering via crematogo.com web page; beans on Shopify; joe.coffee listing notes mobile ordering isn't available."
5,"Steadfast Coffee","Germantown",steadfastcoffeeroasting@gmail.com,"~1,060 Google at 4.2","",drafted,,"No app store presence; online ordering via a Square Online web page (steadfast-coffee.com/s/order); joe.coffee listing says mobile ordering isn't available."
6,"Dose Coffee & Tea","Sylvan Park / West End (Murphy Rd) + Riverside Village, East Nashville",Heidi@dosenashville.com,"~680-800 Google at 4.4 (Murphy Rd location)","",drafted,,"No Dose app in App Store or Google Play searches; joe.coffee listing states mobile ordering isn't available; pickup via dosenashville.com/pages/pick-up-orders web page and a Square site for the East location."
7,"Humphreys Street Coffee","Wedgewood-Houston / Chestnut Hill",info@humphreysstreet.com,"~550 Google at 4.5","Brian",drafted,,"Order-ahead is a generic web page (humphreystogo.com); joe.coffee listing says mobile ordering not currently available; no app in store searches."
8,"Sump Coffee (Nashville)","oneC1TY (Charlotte Ave corridor, West Nashville/Midtown)",shop@sumpcoffee.com,"~305 Google at 4.6 (Nashville location)","Scott",drafted,,"No Sump app in App Store searches; ordering via sumpnashville.com web pickup plus a Shopify bean store."
9,"8th & Roast","8th Ave S / Melrose (flagship) + Charlotte Ave (Sylvan Park side), Midtown, BNA",info@8thandroast.com,"~490 Google at 4.5 (8th Ave flagship alone)","Q-Juan",drafted,,"Order-ahead is the 8thtogo.com web page; delivery via Uber Eats/Postmates; no 8th & Roast app in store searches."
10,"Headquarters Coffee & Tea","Sylvan Park / The Nations (Charlotte Pike)",hqsnashville@gmail.com,"~555 Google at 4.6","Louisa",drafted,,"Squarespace site with no online ordering platform at all; joe.coffee listing says mobile ordering isn't available; nothing in App Store search."
11,"Cafe Roze","East Nashville (Porter Rd); sister shop Roze Pony in 12 South/Edgehill",info@caferoze.com,"Google count not visible; 4.7 stars, Yelp 432 (likely 250+ on Google)","Julia",drafted,,"Reservations via OpenTable, takeout via website; no app in App Store search."
12,"Retrograde Coffee","East Nashville / Cleveland Park (Dickerson Pike) + Germantown + West Nashville",thirsty@retrogradecoffee.com,"Google count not visible; Yelp 126 + 18; likely under 250 per location","Steve",drafted,,"Website is info/locations only, no ordering platform; no app in App Store search."
