rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"Oddly Correct Coffee Roasters","Midtown (Troost Ave)",info@oddlycorrect.com,"~1,187 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21); ~313 Yelp reviews","",drafted,,"Apple App Store search (iTunes Search API) for 'Oddly Correct' returned no results; Google Play search returned only unrelated apps (checked 2026-07-21)."
2,"Thou Mayest Coffee Roasters (River Quay)","River Market",orders@thoumayest.com,"~1,036 Google reviews for the River Quay cafe, ~737 for the roastery listing (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Thou Mayest' returned only unrelated Bible apps; Google Play search returned no branded app (checked 2026-07-21). Online store is standard Shopify."
3,"Cafe Corazon","Westport and Southwest Blvd (Westside)",info@cafecorazonkc.com,"~778 Google reviews for the Westport cafe (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Cafe Corazon' returned only unrelated apps (Cafe Rio, games); Google Play search returned no branded app (checked 2026-07-21)."
4,"Splitlog Coffee Co.","Strawberry Hill (Kansas City, KS)",hello@splitlogcoffee.com,"~627 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Splitlog Coffee' returned no branded app; Google Play search returned no branded app (checked 2026-07-21). Online store is standard Shopify."
5,"Goat Hill Coffee & Soda","Westside",info@goathillkc.com,"~234 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21); meets the 150+ anchor threshold","",drafted,,"Apple App Store search (iTunes Search API) for 'Goat Hill Coffee' returned only unrelated apps (a different 'Mad Goat Coffee' app exists for an unrelated shop); Google Play search returned no branded app (checked 2026-07-21)."
6,"Black Dog Coffeehouse","Lenexa, KS",woof@blackdogcoffeehouse.com,"~2,766 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Black Dog Coffeehouse' returned only unrelated apps; Google Play search returned no branded app (checked 2026-07-21)."
7,"Headrush Roasters Coffee & Tea","Northland (N Oak Trafficway and N Mulberry Dr)",headrushroasters@gmail.com,"~815 Google reviews (N Oak Trafficway) plus ~529 (N Mulberry Dr) (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Headrush Roasters' returned only unrelated apps; Google Play search returned no branded app (checked 2026-07-21)."
8,"City Market Coffee","River Market",citymarketcoffee@gmail.com,"~1,093 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'City Market Coffee' returned only unrelated apps (City Brew, COFE); Google Play search returned only an unrelated Polish loyalty app (checked 2026-07-21)."
9,"HiTides Coffee","Crossroads",hitidescoffee@gmail.com,"~457 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'HiTides Coffee' returned only unrelated apps; Google Play search returned no branded app (checked 2026-07-21)."
10,"Pilgrim Coffee Company","Overland Park, KS",coffee@pilgrimcoffeecompany.com,"~577 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Pilgrim Coffee' returned only unrelated apps; Google Play search returned no branded app (checked 2026-07-21)."
11,"Broadway Cafe & Roasting Co.","Westport",broadwayroasting@gmail.com,"~818 Google reviews for the cafe, ~131 for the roastery (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Broadway Cafe Kansas City' returned only Broadway theater ticket apps; Google Play search returned no branded app (checked 2026-07-21)."
12,"Crows Coffee","Waldo, South Plaza, and Red Bridge",info@crowscoffee.com,"~493 Google reviews at South Plaza, one of three cafes (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) for 'Crows Coffee' returned only unrelated apps (Rook Coffee, games); Google Play search returned no branded app (checked 2026-07-21)."
13,"Mother Earth Coffee","Hyde Park (Gillham Rd)",customerservice@motherearthcoffeeco.com,"~435 Google reviews for the Hyde Park cafe (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) and Google Play search for 'Mother Earth Coffee' returned no branded app, only unrelated apps (checked 2026-07-21). Online store is standard Shopify."
14,"Revocup Coffee","Downtown (E 9th St), plus Leawood, Lenexa, and Overland Park",store@revocup.com,"~306 Google reviews for the downtown cafe (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) and Google Play search for 'Revocup' returned no branded app, only unrelated apps (checked 2026-07-21)."
15,"Maps Coffee & Chocolate","Lenexa, KS",vincent@mapscoffee.com,"~388 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","Vincent",drafted,,"Apple App Store search (iTunes Search API) and Google Play search for 'Maps Coffee' returned only unrelated apps (MAPS.ME etc.) (checked 2026-07-21)."
16,"Post Coffee Company","Lee's Summit, MO",beka@postcoffeecompany.com,"~799 Google reviews for the Chipman Road location (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","Beka",drafted,,"Apple App Store search (iTunes Search API) for 'Post Coffee Company' and Google Play search returned no branded app, only unrelated apps (checked 2026-07-21)."
17,"Hattie's Fine Coffee","Prairie Village, KS",gretchencopeland@gmail.com,"~357 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","Gretchen",drafted,,"Apple App Store search (iTunes Search API) for 'Hatties Coffee' and Google Play search returned no branded app, only unrelated apps (checked 2026-07-21)."
18,"Whiskers Cat Cafe & Coffeehouse","Midtown (SW Trafficway)",whiskerskc@gmail.com,"~422 Google reviews (Wanderlog aggregation of Google Maps data, fetched 2026-07-21)","",drafted,,"Apple App Store search (iTunes Search API) and Google Play search for 'Whiskers' cafe apps returned no branded app for this shop (checked 2026-07-21)."
