rank,shop,neighborhood,email,reviews_estimate,owner_first,status,sent_date,notes
1,"The Wormhole Coffee","Wicker Park",minibosses@thewormhole.us,"1,500+ (Google 4.6; Yelp alone has 1,391)","",drafted,,"No branded app in the Apple or Google app stores; no mobile ordering, service is in person at the Milwaukee Ave shop."
2,"Hexe Coffee Co.","Roscoe Village (W Diversey Pkwy)",info@hexecoffee.com,"973 Google reviews at 4.8","",drafted,,"No app store listing; online presence is a Squarespace site plus Tock for events, no mobile ordering app."
3,"Metropolis Coffee Company","Edgewater (Granville Ave)",info@metropoliscoffee.com,"~1,700 (Birdeye aggregates 1,728; Google 4.6)","Tony",drafted,,"No branded app; cafe pickup ordering runs through the generic joe coffee marketplace only."
4,"Metric Coffee","West Town (Kinzie Corridor, W Fulton St)",info@metriccoffee.com,"462 Google reviews at 4.6","Xavier",drafted,,"No branded app in app stores; pickup ordering only via the generic joe coffee marketplace."
5,"Sputnik Coffee Company","Back of the Yards (W 48th St)",vova@sputnikroasters.com,"493 Google reviews at 4.9","Vova",drafted,,"No branded app; on the generic joe coffee marketplace only, big new roastery cafe has no mobile ordering of its own."
6,"Plein Air Cafe & Eatery","Hyde Park",info@pleinaircafe.co,"~400 (Google 4.5; Restaurantji aggregates 338)","",drafted,,"Ordering runs through a generic Square site (plein-air-cafe.square.site) and a joe coffee listing; no branded app."
7,"Loba Pastry + Coffee","North Center (N Lincoln Ave)",hola@lobapastry.com,"~740 (Restaurant Guru shows 738; Google 4.5)","",drafted,,"No app store presence; only a joe coffee marketplace listing, no branded mobile ordering."
8,"Damn Fine Coffee Bar","Logan Square (W Armitage Ave)",damnfinechicago@gmail.com,"574 Google reviews at 4.6","",drafted,,"No branded app; only a joe coffee marketplace listing for ordering."
9,"Cafe Jumping Bean","Pilsen (W 18th St)",cafejumpingbean@gmail.com,"1,371 Google reviews at 4.7","",drafted,,"No branded app; both cafes appear only on the generic joe coffee marketplace."
10,"Bourgeois Pig Cafe","Lincoln Park (W Fullerton Ave)",mason@bpigcafe.com,"1,000+ (Yelp alone has 1,031; ezCater 4.5 with 304)","",drafted,,"Online ordering is a generic web ordering page (bourgeoispigcafetogo.com); no app store listing."
11,"Hero Coffee Bar","The Loop (E Jackson Blvd; second cafe in Lakeview)",info@herocoffeebars.com,"416+ Google reviews at ~4.5 (Jackson Blvd location)","",drafted,,"Its joe coffee page states mobile ordering is not yet available; contact page is a generic Square site; no branded app."
12,"Backlot Coffee","Irving Park / Lincoln Square / Evanston (3 locations)",evanston@backlotcoffee.com,"783 Google reviews at 4.7 (Evanston flagship)","",drafted,,"No branded app in app stores; only joe coffee marketplace listings for ordering."
13,"The Coffee & Tea Exchange","Lakeview (N Broadway)",customerservice@coffeeandtea.com,"1,500+ (Restaurant Guru shows 1,562; Google 4.8)","",drafted,,"Website is a bean web store only; no mobile app and no cafe pickup ordering app."
14,"La Catedral Cafe & Restaurant","Little Village (plus New Eastside and North Lawndale)",info@lacatedralcafe.com,"1,000+ across locations (Yelp 695 + 117 + 64; Restaurantji 663 for Little Village alone)","",drafted,,"Reservations via OpenTable and third-party delivery only; no branded app in app stores."
15,"Cafe Mustache","Logan Square (N Milwaukee Ave)",stachebooking@gmail.com,"854 Google reviews at 4.5","",drafted,,"No online ordering and no app; cafe by day, bar and music venue by night, all in person."
16,"Robust Coffee Lounge","Woodlawn (63rd & Woodlawn)",jake.robustcoffeelounge@gmail.com,"500+ (Yelp 394; Google rating ~4.5)","Jake",drafted,,"Delivery via Grubhub and a joe coffee listing only; no branded app in app stores."
